    PID COMMAND
 155158 gvfsd-gphoto2
 155158 gmain
 155158 gdbus
 155158 dconf worker
 155158 pool
 155159 gvfsd-afc
 155159 gmain
 155159 gdbus
 155159 dconf worker
 155159 pool
 162352 kworker/1:1-events
 166901 kworker/u16:1-i915
 167528 Web Content
 167528 IPC I/O Child
 167528 Socket Thread
 167528 JS Watchdog
 167528 Timer
 167528 RemoteLzyStream
 167528 RemVidChild
 167528 ImageIO
 167528 TaskCon~read #0
 167528 TaskCon~read #1
 167528 TaskCon~read #2
 167528 TaskCon~read #3
 167528 ImageBridgeChld
 167528 ProcessHangMon
 167528 ProfilerChild
 167528 Worker Launcher
 167528 StyleThread#0
 167528 StyleThread#1
 167528 StyleThread#2
 167528 HTML5 Parser
 167528 DOM Worker
 167528 DOM Worker
 167919 Web Content
 167919 IPC I/O Child
 167919 Socket Thread
 167919 JS Watchdog
 167919 Timer
 167919 RemoteLzyStream
 167919 RemVidChild
 167919 ImageIO
 167919 TaskCon~read #0
 167919 TaskCon~read #1
 167919 TaskCon~read #2
 167919 TaskCon~read #3
 167919 ImageBridgeChld
 167919 ProcessHangMon
 167919 ProfilerChild
 167919 Worker Launcher
 167919 HTML5 Parser
 167919 StyleThread#0
 167919 StyleThread#1
 167919 StyleThread#2
 167919 DOM Worker
 168656 Web Content
 168656 IPC I/O Child
 168656 Socket Thread
 168656 JS Watchdog
 168656 Timer
 168656 RemoteLzyStream
 168656 RemVidChild
 168656 ImageIO
 168656 TaskCon~read #0
 168656 TaskCon~read #1
 168656 TaskCon~read #2
 168656 TaskCon~read #3
 168656 ImageBridgeChld
 168656 ProcessHangMon
 168656 ProfilerChild
 168656 Worker Launcher
 168656 StyleThread#0
 168656 StyleThread#1
 168656 StyleThread#2
 168656 HTML5 Parser
 168656 DOM Worker
 168816 Web Content
 168816 IPC I/O Child
 168816 Socket Thread
 168816 JS Watchdog
 168816 Timer
 168816 RemoteLzyStream
 168816 RemVidChild
 168816 ImageIO
 168816 TaskCon~read #0
 168816 TaskCon~read #1
 168816 TaskCon~read #2
 168816 TaskCon~read #3
 168816 ImageBridgeChld
 168816 ProcessHangMon
 168816 ProfilerChild
 168816 Worker Launcher
 168816 StyleThread#0
 168816 StyleThread#1
 168816 StyleThread#2
 168816 HTML5 Parser
 168816 DOM Worker
 168966 kworker/1:3-memcg_kmem_cache
 170751 gnome-terminal-
 170751 gmain
 170751 gdbus
 170751 dconf worker
 170751 threaded-ml
 170785 bash
 172413 kworker/2:2-events
 174773 fwupd
 174773 gmain
 174773 fwupd
 174773 GUsbEventThread
 174773 gdbus
 175472 Web Content
 175472 IPC I/O Child
 175472 Socket Thread
 175472 JS Watchdog
 175472 Timer
 175472 RemoteLzyStream
 175472 RemVidChild
 175472 ImageIO
 175472 TaskCon~read #0
 175472 TaskCon~read #1
 175472 TaskCon~read #2
 175472 TaskCon~read #3
 175472 ImageBridgeChld
 175472 ProcessHangMon
 175472 ProfilerChild
 175533 sd_espeak-ng
 175533 sd_espeak-ng
 175533 sd_espeak-ng
 175533 sd_espeak-ng
 175533 threaded-ml
 175539 sd_dummy
 175539 sd_dummy
 175539 threaded-ml
 175542 sd_generic
 175542 sd_generic
 175542 threaded-ml
 175545 speech-dispatch
 175545 gmain
 175545 speech-dispatch
 177374 kworker/3:2-mm_percpu_wq
 177905 kworker/u16:3+events_unbound
 178574 kworker/0:1-events
 178794 kworker/2:0-rcu_gp
 180837 kworker/0:0-cgroup_destroy
 186190 kworker/1:0-events
 187342 kworker/3:0-events
 187407 kworker/0:2-events
 187509 bash
 188048 kworker/u16:2-events_unbound
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188323 cpptools-srv
 188355 kworker/2:1-events
 188816 kworker/1:2-events
 189756 kworker/0:3-events
 190356 tracker-store
 190356 gmain
 190356 dconf worker
 190356 gdbus
 190356 pool-tracker-st
 190451 kworker/2:3-events
 190580 famiglia
 190581 famiglia <defunct>
 190582 famiglia <defunct>
 190612 systemd-udevd
 190613 systemd-udevd
 190614 systemd-udevd
 190615 systemd-udevd
 190616 systemd-udevd
 190617 systemd-udevd
 190618 systemd-udevd
 190619 systemd-udevd
 190620 systemd-udevd
 190621 systemd-udevd
 190629 systemd-udevd
 190630 systemd-udevd
 190631 systemd-udevd
 190633 ps
